dataset,tool,composite_score,recourse_cost
German_Credit,DiCE,5,0.571
German_Credit,DiCE,5,0.3794
German_Credit,DiCE,5,1.3333
German_Credit,DiCE,5,0.7382
German_Credit,DiCE,5,1.0672
German_Credit,DiCE,5,0.5
German_Credit,DiCE,5,0.681
German_Credit,DiCE,5,0.75
German_Credit,DiCE,5,1.1833
German_Credit,DiCE,5,0.375
German_Credit,DiCE,5,0.752
German_Credit,DiCE,5,0.9667
German_Credit,DiCE,5,0.1176
German_Credit,DiCE,5,0.0471
German_Credit,DiCE,5,0.4282
German_Credit,DiCE,5,0.5
German_Credit,DiCE,5,0.4377
German_Credit,DiCE,5,0.1735
German_Credit,DiCE,5,0.3868
German_Credit,DiCE,5,0.31
German_Credit,DiCE,5,0.4119
German_Credit,DiCE,5,0.3936
German_Credit,DiCE,5,0.4102
German_Credit,DiCE,5,0.4145
German_Credit,DiCE,5,0.3083
German_Credit,DiCE,5,0.8833
German_Credit,DiCE,5,1.4603
German_Credit,DiCE,5,0.9029
German_Credit,DiCE,5,0.35
German_Credit,DiCE,5,0.8333
German_Credit,DiCE,5,0.5096
German_Credit,DiCE,5,0.8833
German_Credit,DiCE,5,0.5
German_Credit,DiCE,5,0.8544
German_Credit,DiCE,5,1.3
German_Credit,DiCE,5,1.5167
German_Credit,DiCE,5,1.2632
German_Credit,DiCE,5,0.9333
German_Credit,DiCE,5,0.1485
German_Credit,DiCE,5,1.8333
German_Credit,DiCE,5,1.3
German_Credit,DiCE,5,1.5656
German_Credit,DiCE,5,0.6662
German_Credit,DiCE,5,0.727
German_Credit,DiCE,5,0.9
German_Credit,DiCE,5,0.1735
German_Credit,DiCE,5,0.5838
German_Credit,DiCE,5,0.25
German_Credit,DiCE,5,0.927
German_Credit,DiCE,5,0.632
German_Credit,DiCE,5,0.391
German_Credit,DiCE,5,0.9045
German_Credit,DiCE,5,0.4176
German_Credit,DiCE,5,0.6326
German_Credit,DiCE,5,1.1333
German_Credit,DiCE,5,0.4294
German_Credit,DiCE,5,0.1765
German_Credit,DiCE,5,0.625
German_Credit,DiCE,5,0.7603
German_Credit,DiCE,5,1.3407
