dataset,criterion,phase,fail_rate
German_Credit,C1_Immutability,1,45.9
German_Credit,C1_Immutability,2,0.0
German_Credit,C1_Immutability,3,0.0
German_Credit,C1_Immutability,4,0.0
German_Credit,C2_Actionability,1,6.3
German_Credit,C2_Actionability,2,8.8
German_Credit,C2_Actionability,3,0.0
German_Credit,C2_Actionability,4,0.0
German_Credit,C3_Sparsity,1,6.2
German_Credit,C3_Sparsity,2,2.2
German_Credit,C3_Sparsity,3,1.6
German_Credit,C3_Sparsity,4,0.0
German_Credit,C4_Causal,1,19.4
German_Credit,C4_Causal,2,24.2
German_Credit,C4_Causal,3,22.1
German_Credit,C4_Causal,4,0.0
German_Credit,C5_Diversity,1,3.0
German_Credit,C5_Diversity,2,2.7
German_Credit,C5_Diversity,3,3.6
German_Credit,C5_Diversity,4,1.6
Taiwan_Credit,C1_Immutability,1,47.3
Taiwan_Credit,C1_Immutability,2,0.0
Taiwan_Credit,C1_Immutability,3,0.0
Taiwan_Credit,C1_Immutability,4,0.0
Taiwan_Credit,C2_Actionability,1,28.3
Taiwan_Credit,C2_Actionability,2,27.1
Taiwan_Credit,C2_Actionability,3,0.1
Taiwan_Credit,C2_Actionability,4,0.2
Taiwan_Credit,C3_Sparsity,1,27.0
Taiwan_Credit,C3_Sparsity,2,16.8
Taiwan_Credit,C3_Sparsity,3,9.8
Taiwan_Credit,C3_Sparsity,4,0.0
Taiwan_Credit,C4_Causal,1,24.9
Taiwan_Credit,C4_Causal,2,29.0
Taiwan_Credit,C4_Causal,3,30.5
Taiwan_Credit,C4_Causal,4,0.0
Taiwan_Credit,C5_Diversity,1,0.7
Taiwan_Credit,C5_Diversity,2,0.3
Taiwan_Credit,C5_Diversity,3,0.9
Taiwan_Credit,C5_Diversity,4,4.1
