dataset,criterion,min_phase_significant,max_pass_rate_p4,residual_gap
German_Credit,C1_Immutability,Phase 2,100.0,0.0
German_Credit,C2_Actionability,Phase 2,100.0,0.0
German_Credit,C3_Sparsity,Phase 2,100.0,0.0
German_Credit,C4_Causal,Phase 4,100.0,0.0
German_Credit,C5_Diversity,Phase 2,98.4,1.6
Taiwan_Credit,C1_Immutability,Phase 2,100.0,0.0
Taiwan_Credit,C2_Actionability,Phase 3,99.8,0.2
Taiwan_Credit,C3_Sparsity,Phase 3,100.0,0.0
Taiwan_Credit,C4_Causal,Phase 4,100.0,0.0
Taiwan_Credit,C5_Diversity,Phase 2,95.9,4.1
